原始来源,原始大小,原始SHA256,目标路径,处理
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权LuaRCE漏洞\render_evidence_png.py,2921,9f50d32707690edc8a19ad4b09084350fcc1a350327025a94466390844ba88d7,工具\复现工具\其他机器人\UBW-003\render_evidence_png.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权LuaRCE漏洞\lib\lan_channel_client.py,11460,8649a2c637e61b43e2488d3274521a1601c9d20c7812f89989a488de8062650e,工具\复现工具\其他机器人\UBW-003\lan_channel_client.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权LuaRCE漏洞\lib\lan_discover.py,10241,887596e1dff247099230c63451708cc940f3ca265be0d904333a813ee18df2fb,工具\复现工具\其他机器人\UBW-003\lan_discover.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权WS_RCE漏洞\exploit_ws.py,10976,c723409f7cbd64e783e92cba27c9fdf5b306d08eecc7e6d33b9558982c6775ec,工具\复现工具\其他机器人\UBW-004\exploit_ws.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权WS_RCE漏洞\root_shell.py,4728,cdc5ba3688650248511e1891a7854d4acee978953d553eed00512c0fc069a25e,工具\复现工具\其他机器人\UBW-004\root_shell.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权WS_RCE漏洞\sig_rootsh.py,1448,0e27a41872b4dd5f6d4e6038bba1c72b98dfa4bd212a9380d331d1d156b69557,工具\复现工具\其他机器人\UBW-004\sig_rootsh.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权WS_RCE漏洞\sig_runner.py,2924,d28a668095b7bc8d707ce3e8026bd6cbc8b1b9ae739c6ca1fdf2f9124a6c4550,工具\复现工具\其他机器人\UBW-004\sig_runner.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权WS_RCE漏洞\ws_action.py,4491,e53f502a6559ba5d0ecdad3ca7cc787978382c37ed222ad74d720a6a46ef1092,工具\复现工具\其他机器人\UBW-004\ws_action.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权WS_RCE漏洞\ws_cmd.py,5946,7e39f52e7f37103de0c3a93ca8a71dcbf237b5c5592f720b288ca66fabe0c49c,工具\复现工具\其他机器人\UBW-004\ws_cmd.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权WS_RCE漏洞\lib\lan_channel_client.py,11460,8649a2c637e61b43e2488d3274521a1601c9d20c7812f89989a488de8062650e,工具\复现工具\其他机器人\UBW-004\lan_channel_client.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权WS_RCE漏洞\lib\lan_discover.py,10241,887596e1dff247099230c63451708cc940f3ca265be0d904333a813ee18df2fb,工具\复现工具\其他机器人\UBW-004\lan_discover.py,文本脱敏后导入
