原始来源,原始大小,原始SHA256,未提交原因
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\evidence\ota_enum_20260731_134711.json,7310,953e02e4241c85859c962fc477049a6a22dc8a73e7c4362c1ee036ce8ae53216,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\evidence\ota_firmware_urls_verified.json,3367,62012e3d9035b889580e7c03759744ab990f8d69dc6ee771ab09ef6f976d8e89,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\evidence\relation_getBindUsers_redacted.json,476,0629e5bc75b85e9f2823b45a0a6bf10612c690636981ece8e26117103e1228bc,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\screenshots\00_highlights.png,163141,ab00756fb2bc49677d2774a4bc05e4bc03e5d29269d44b7195c5232c178d77f8,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\screenshots\01_full_chain.png,132301,9f7fa5565adb84a187d9bd7290ee2f26ea772a714ba8aee4cfd780759428da54,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\screenshots\02_owner_pii.png,58945,73494c0aabbb8799efec2221ca010836bcd58b2063274a049327d41fe81dcb75,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\screenshots\03_online_enum.png,218794,da6ad77c5928dbb7e64efd8a22dbc624c06839441939b39d033263c9096d5f43,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\screenshots\04_burp_repeater.png,91066,507d9914736ea56a0f8c081398640fa4f14784a2c38c13c5626410e7558b21b0,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\screenshots\05_contact_pii.png,96756,fc5020aef66f150a254723e15f67c98f86424617ee482eaddaf70d61c14561d1,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\screenshots\06_burp_real_getinfo.png,161706,7369d3ed22b7a0afa06819c1bfc8395dc8e829545bf2aedae0049894446a897f,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\screenshots\07_burp_real_isonline.png,116396,585e1b770575ad5a578a3db3fbcd21c3fd0b0f168d6a553ae8385b4c913c0e42,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\screenshots\08_burp_real_getbindusers_own.png,140209,18176de5d79b8c4bb7271b1224d594b526ac1ec543c83b1cd2fe2052f73c160e,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\screenshots\09_burp_real_getbindusers_thirdparty.png,140197,51fa2b1dc0f3f9de8f85ed9259823617fb26995d8baf3b9cbcb6a57f6d3e9cf9,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\screenshots\Screen Recording 2026-08-03 143826.mp4,152744105,021f53251eb9d1bfdaf085e3b56db8626ab761e0ed3a347ffb09f606e947e7e6,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\scripts\config.example.json,1076,9b60b91189e70d9c15ff506d57ad0c3c429ac9aa0f232f613ae71c72c03c065e,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\scripts\package-lock.json,19730,c13dde1dd81eb4bfba9b957129c878d45eb181c464ad957776deef809061446c,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\scripts\package.json,295,f08c849110b065c3bfb7b6923306d7fa1370e280ec7d7aa593c537b01be4b6d3,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权LuaRCE漏洞\evidence\01_发现与握手.png,85266,17ddc917b7e2f87a91f07858ad546fdcb24cb810faad11702a2c3bb319b7eb2e,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
